Effective Date,Close Value,Difference,Differ%,gan Year,G Year,G Month
06/30/1896,36.15,-4.480000000000004,0.89,丙,申,未
07/31/1896,32.02,-4.1299999999999955,0.886,丙,申,申
08/31/1896,31.97,-0.05000000000000426,0.998,丙,申,酉
09/30/1896,36.05,4.079999999999998,1.128,丙,申,戌
10/31/1896,39.53,3.480000000000004,1.097,丙,申,亥
11/30/1896,41,1.4699999999999989,1.037,丙,申,子
12/31/1896,40.45,-0.5499999999999972,0.987,丙,申,丑
01/30/1897,42.56,2.1099999999999994,1.052,丁,酉,寅
02/27/1897,41.71,-0.8500000000000014,0.98,丁,酉,卯
03/31/1897,39.47,-2.240000000000002,0.946,丁,酉,辰
04/30/1897,38.96,-0.509999999999998,0.987,丁,酉,巳
05/29/1897,39.91,0.9499999999999957,1.024,丁,酉,午
06/30/1897,44.1,4.190000000000005,1.105,丁,酉,未
07/31/1897,47.88,3.780000000000001,1.086,丁,酉,申
08/31/1897,54.81,6.93,1.145,丁,酉,酉
09/30/1897,50.98,-3.8300000000000054,0.93,丁,酉,戌
10/30/1897,49.03,-1.9499999999999957,0.962,丁,酉,亥
11/30/1897,47.46,-1.5700000000000003,0.968,丁,酉,子
12/31/1897,49.41,1.9499999999999957,1.041,丁,酉,丑
01/31/1898,50.01,0.6000000000000014,1.012,戊,戌,寅
02/28/1898,46.17,-3.8399999999999963,0.923,戊,戌,卯
03/31/1898,45.42,-0.75,0.984,戊,戌,辰
04/30/1898,46,0.5799999999999983,1.013,戊,戌,巳
05/31/1898,52.74,6.740000000000002,1.147,戊,戌,午
06/30/1898,52.62,-0.12000000000000455,0.998,戊,戌,未
07/30/1898,54.2,1.5800000000000054,1.03,戊,戌,申
08/31/1898,60.35,6.149999999999999,1.113,戊,戌,酉
09/30/1898,53.44,-6.910000000000004,0.886,戊,戌,戌
10/31/1898,55.43,1.990000000000002,1.037,戊,戌,亥
11/30/1898,57.2,1.7700000000000031,1.032,戊,戌,子
12/30/1898,60.52,3.3200000000000003,1.058,戊,戌,丑
01/31/1899,64.35,3.829999999999991,1.063,己,亥,寅
02/28/1899,66.78,2.430000000000007,1.038,己,亥,卯
03/30/1899,74.33,7.549999999999997,1.113,己,亥,辰
04/29/1899,76.71,2.3799999999999955,1.032,己,亥,巳
05/31/1899,67.51,-9.199999999999989,0.88,己,亥,午
06/30/1899,70.38,2.8699999999999903,1.043,己,亥,未
07/31/1899,73.73,3.3500000000000085,1.048,己,亥,申
08/31/1899,75.66,1.9299999999999926,1.026,己,亥,酉
09/28/1899,72.87,-2.789999999999992,0.963,己,亥,戌
10/31/1899,74.97,2.0999999999999943,1.029,己,亥,亥
11/29/1899,75.55,0.5799999999999983,1.008,己,亥,子
12/30/1899,66.08,-9.469999999999999,0.875,己,亥,丑
01/31/1900,66.13,0.04999999999999716,1.001,庚,子,寅
02/28/1900,63.96,-2.1699999999999946,0.967,庚,子,卯
03/31/1900,66.02,2.059999999999995,1.032,庚,子,辰
04/30/1900,61.33,-4.689999999999998,0.929,庚,子,巳
05/31/1900,59.1,-2.229999999999997,0.964,庚,子,午
06/30/1900,54.93,-4.170000000000002,0.929,庚,子,未
07/31/1900,56.8,1.8699999999999974,1.034,庚,子,申
08/31/1900,57.81,1.0100000000000051,1.018,庚,子,酉
09/29/1900,54.27,-3.539999999999999,0.939,庚,子,戌
10/31/1900,59.04,4.769999999999996,1.088,庚,子,亥
11/30/1900,66.59,7.550000000000004,1.128,庚,子,子
12/31/1900,70.71,4.11999999999999,1.062,庚,子,丑
01/31/1901,66.81,-3.8999999999999915,0.945,辛,丑,寅
02/28/1901,67,0.18999999999999773,1.003,辛,丑,卯
03/30/1901,69.92,2.9200000000000017,1.044,辛,丑,辰
04/30/1901,75.8,5.8799999999999955,1.084,辛,丑,巳
05/31/1901,75.77,-0.030000000000001137,1.0,辛,丑,午
06/29/1901,77.94,2.1700000000000017,1.029,辛,丑,未
07/31/1901,71.63,-6.310000000000002,0.919,辛,丑,申
08/30/1901,73.47,1.8400000000000034,1.026,辛,丑,酉
09/30/1901,66.66,-6.810000000000002,0.907,辛,丑,戌
10/31/1901,64.45,-2.2099999999999937,0.967,辛,丑,亥
11/30/1901,65.01,0.5600000000000023,1.009,辛,丑,子
12/31/1901,64.56,-0.45000000000000284,0.993,辛,丑,丑
01/31/1902,64.95,0.39000000000000057,1.006,壬,寅,寅
02/28/1902,64.81,-0.14000000000000057,0.998,壬,寅,卯
03/31/1902,67.19,2.3799999999999955,1.037,壬,寅,辰
04/30/1902,67.01,-0.1799999999999926,0.997,壬,寅,巳
05/29/1902,66.42,-0.5900000000000034,0.991,壬,寅,午
06/30/1902,64.31,-2.1099999999999994,0.968,壬,寅,未
07/31/1902,65.82,1.509999999999991,1.023,壬,寅,申
08/29/1902,66.28,0.46000000000000796,1.007,壬,寅,酉
09/30/1902,66.15,-0.12999999999999545,0.998,壬,寅,戌
10/31/1902,66.05,-0.10000000000000853,0.998,壬,寅,亥
11/29/1902,62.05,-4.0,0.939,壬,寅,子
12/31/1902,64.29,2.240000000000009,1.036,壬,寅,丑
01/31/1903,65.18,0.8900000000000006,1.014,癸,卯,寅
02/28/1903,66.19,1.009999999999991,1.015,癸,卯,卯
03/31/1903,63.64,-2.549999999999997,0.961,癸,卯,辰
04/30/1903,63.78,0.14000000000000057,1.002,癸,卯,巳
05/29/1903,60.27,-3.509999999999998,0.945,癸,卯,午
06/30/1903,59.08,-1.1900000000000048,0.98,癸,卯,未
07/31/1903,50.76,-8.32,0.859,癸,卯,申
08/31/1903,53.19,2.4299999999999997,1.048,癸,卯,酉
09/30/1903,45.8,-7.390000000000001,0.861,癸,卯,戌
10/31/1903,45.13,-0.6699999999999946,0.985,癸,卯,亥
11/30/1903,44.33,-0.8000000000000043,0.982,癸,卯,子
12/31/1903,49.11,4.780000000000001,1.108,癸,卯,丑
01/30/1904,48.91,-0.20000000000000284,0.996,甲,辰,寅
02/29/1904,47.53,-1.3799999999999955,0.972,甲,辰,卯
03/31/1904,49.12,1.5899999999999963,1.033,甲,辰,辰
04/30/1904,48.8,-0.3200000000000003,0.993,甲,辰,巳
05/31/1904,48.18,-0.6199999999999974,0.987,甲,辰,午
06/30/1904,49.25,1.0700000000000003,1.022,甲,辰,未
07/30/1904,52.13,2.8800000000000026,1.058,甲,辰,申
08/31/1904,54.57,2.4399999999999977,1.047,甲,辰,酉
09/30/1904,57.59,3.020000000000003,1.055,甲,辰,戌
10/31/1904,63.03,5.439999999999998,1.094,甲,辰,亥
11/30/1904,72.02,8.989999999999995,1.143,甲,辰,子
12/31/1904,69.61,-2.4099999999999966,0.967,甲,辰,丑
01/31/1905,71.33,1.7199999999999989,1.025,乙,巳,寅
02/28/1905,75.15,3.8200000000000074,1.054,乙,巳,卯
03/31/1905,80.02,4.86999999999999,1.065,乙,巳,辰
04/29/1905,76.08,-3.9399999999999977,0.951,乙,巳,巳
05/31/1905,74.32,-1.7600000000000051,0.977,乙,巳,午
06/30/1905,76.87,2.5500000000000114,1.034,乙,巳,未
07/31/1905,81.7,4.829999999999998,1.063,乙,巳,申
08/31/1905,80.63,-1.0700000000000074,0.987,乙,巳,酉
09/30/1905,81.9,1.2700000000000102,1.016,乙,巳,戌
10/31/1905,83.77,1.8699999999999903,1.023,乙,巳,亥
11/29/1905,89.89,6.1200000000000045,1.073,乙,巳,子
12/30/1905,96.2,6.310000000000002,1.07,乙,巳,丑
01/31/1906,100.69,4.489999999999995,1.047,丙,午,寅
02/28/1906,93.94,-6.75,0.933,丙,午,卯
03/31/1906,96.95,3.010000000000005,1.032,丙,午,辰
04/30/1906,90.53,-6.420000000000002,0.934,丙,午,巳
05/31/1906,93.75,3.219999999999999,1.036,丙,午,午
06/30/1906,87.01,-6.739999999999995,0.928,丙,午,未
07/31/1906,92.41,5.3999999999999915,1.062,丙,午,申
08/31/1906,94.01,1.6000000000000085,1.017,丙,午,酉
09/29/1906,94.84,0.8299999999999983,1.009,丙,午,戌
10/31/1906,92.91,-1.9300000000000068,0.98,丙,午,亥
11/30/1906,95.12,2.210000000000008,1.024,丙,午,子
12/31/1906,94.35,-0.7700000000000102,0.992,丙,午,丑
01/31/1907,91.7,-2.6499999999999915,0.972,丁,未,寅
02/28/1907,90.54,-1.1599999999999966,0.987,丁,未,卯
03/29/1907,80.15,-10.39,0.885,丁,未,辰
04/30/1907,84.3,4.1499999999999915,1.052,丁,未,巳
05/31/1907,78.1,-6.200000000000003,0.926,丁,未,午
06/29/1907,80.36,2.260000000000005,1.029,丁,未,未
07/31/1907,78.87,-1.4899999999999949,0.981,丁,未,申
08/30/1907,72.28,-6.590000000000003,0.916,丁,未,酉
09/30/1907,67.72,-4.560000000000002,0.937,丁,未,戌
10/31/1907,57.7,-10.019999999999996,0.852,丁,未,亥
11/30/1907,58.41,0.7099999999999937,1.012,丁,未,子
12/31/1907,58.75,0.3400000000000034,1.006,丁,未,丑
01/31/1908,62.7,3.950000000000003,1.067,戊,申,寅
02/29/1908,60.54,-2.1600000000000037,0.966,戊,申,卯
03/31/1908,67.51,6.970000000000006,1.115,戊,申,辰
04/30/1908,69.55,2.039999999999992,1.03,戊,申,巳
05/29/1908,72.76,3.210000000000008,1.046,戊,申,午
06/30/1908,72.59,-0.1700000000000017,0.998,戊,申,未
07/31/1908,80.34,7.75,1.107,戊,申,申
08/31/1908,84.66,4.319999999999993,1.054,戊,申,酉
09/30/1908,79.93,-4.72999999999999,0.944,戊,申,戌
10/31/1908,82.53,2.5999999999999943,1.033,戊,申,亥
11/30/1908,87.3,4.769999999999996,1.058,戊,申,子
12/31/1908,86.15,-1.1499999999999915,0.987,戊,申,丑
01/30/1909,84.09,-2.0600000000000023,0.976,己,酉,寅
02/27/1909,81.85,-2.240000000000009,0.973,己,酉,卯
03/31/1909,86.12,4.27000000000001,1.052,己,酉,辰
04/30/1909,88.29,2.1700000000000017,1.025,己,酉,巳
05/28/1909,92.18,3.8900000000000006,1.044,己,酉,午
06/30/1909,92.28,0.09999999999999432,1.001,己,酉,未
07/31/1909,96.79,4.510000000000005,1.049,己,酉,申
08/31/1909,97.9,1.1099999999999994,1.011,己,酉,酉
09/30/1909,99.55,1.6499999999999915,1.017,己,酉,戌
10/30/1909,99.07,-0.480000000000004,0.995,己,酉,亥
11/30/1909,96.02,-3.049999999999997,0.969,己,酉,子
12/31/1909,99.05,3.030000000000001,1.032,己,酉,丑
01/31/1910,91.91,-7.140000000000001,0.928,庚,戌,寅
02/28/1910,91.34,-0.5699999999999932,0.994,庚,戌,卯
03/31/1910,89.71,-1.6300000000000097,0.982,庚,戌,辰
04/30/1910,86.2,-3.509999999999991,0.961,庚,戌,巳
05/31/1910,86.32,0.11999999999999034,1.001,庚,戌,午
06/30/1910,81.18,-5.139999999999986,0.94,庚,戌,未
07/30/1910,76.48,-4.700000000000003,0.942,庚,戌,申
08/31/1910,79.68,3.200000000000003,1.042,庚,戌,酉
09/30/1910,79.72,0.03999999999999204,1.001,庚,戌,戌
10/31/1910,84.77,5.049999999999997,1.063,庚,戌,亥
11/30/1910,82.52,-2.25,0.973,庚,戌,子
12/31/1910,81.36,-1.1599999999999966,0.986,庚,戌,丑
01/31/1911,84.93,3.5700000000000074,1.044,辛,亥,寅
02/28/1911,85.02,0.0899999999999892,1.001,辛,亥,卯
03/31/1911,83.27,-1.75,0.979,辛,亥,辰
04/29/1911,83.65,0.38000000000000966,1.005,辛,亥,巳
05/31/1911,85.55,1.8999999999999915,1.023,辛,亥,午
06/30/1911,85.98,0.4300000000000068,1.005,辛,亥,未
07/31/1911,86.02,0.03999999999999204,1.0,辛,亥,申
08/31/1911,79.25,-6.769999999999996,0.921,辛,亥,酉
09/30/1911,76.31,-2.9399999999999977,0.963,辛,亥,戌
10/31/1911,75.79,-0.519999999999996,0.993,辛,亥,亥
11/29/1911,80.97,5.179999999999993,1.068,辛,亥,子
12/30/1911,81.68,0.710000000000008,1.009,辛,亥,丑
01/31/1912,80.19,-1.490000000000009,0.982,壬,子,寅
02/29/1912,81.4,1.210000000000008,1.015,壬,子,卯
03/30/1912,88.27,6.86999999999999,1.084,壬,子,辰
04/30/1912,90.3,2.030000000000001,1.023,壬,子,巳
05/31/1912,88.01,-2.289999999999992,0.975,壬,子,午
06/29/1912,90.92,2.9099999999999966,1.033,壬,子,未
07/31/1912,89.71,-1.210000000000008,0.987,壬,子,申
08/30/1912,91.57,1.8599999999999994,1.021,壬,子,酉
09/30/1912,94.15,2.5800000000000125,1.028,壬,子,戌
10/31/1912,90.71,-3.440000000000012,0.963,壬,子,亥
11/30/1912,91.4,0.6900000000000119,1.008,壬,子,子
12/31/1912,87.87,-3.530000000000001,0.961,壬,子,丑
01/31/1913,83.72,-4.150000000000006,0.953,癸,丑,寅
02/28/1913,80.32,-3.4000000000000057,0.959,癸,丑,卯
03/31/1913,80.92,0.6000000000000085,1.007,癸,丑,辰
04/30/1913,78.54,-2.3799999999999955,0.971,癸,丑,巳
05/29/1913,78.38,-0.1600000000000108,0.998,癸,丑,午
06/30/1913,74.89,-3.489999999999995,0.955,癸,丑,未
07/31/1913,78.48,3.5900000000000034,1.048,癸,丑,申
08/29/1913,81.81,3.3299999999999983,1.042,癸,丑,酉
09/30/1913,80.37,-1.4399999999999977,0.982,癸,丑,戌
10/31/1913,78.3,-2.0700000000000074,0.974,癸,丑,亥
11/29/1913,75.94,-2.3599999999999994,0.97,癸,丑,子
12/31/1913,78.78,2.8400000000000034,1.037,癸,丑,丑
01/31/1914,82.85,4.069999999999993,1.052,甲,寅,寅
02/28/1914,82.26,-0.5899999999999892,0.993,甲,寅,卯
03/31/1914,82.39,0.12999999999999545,1.002,甲,寅,辰
04/30/1914,79.12,-3.269999999999996,0.96,甲,寅,巳
05/29/1914,81.57,2.4499999999999886,1.031,甲,寅,午
06/30/1914,80.66,-0.9099999999999966,0.989,甲,寅,未
07/30/1914,71.42,-9.239999999999995,0.885,甲,寅,申
12/31/1914,54.58,-16.840000000000003,0.764,甲,寅,丑
01/30/1915,57.16,2.5799999999999983,1.047,乙,卯,寅
02/27/1915,55.18,-1.9799999999999969,0.965,乙,卯,卯
03/31/1915,60.83,5.649999999999999,1.102,乙,卯,辰
04/30/1915,71.78,10.950000000000003,1.18,乙,卯,巳
05/29/1915,64.67,-7.109999999999999,0.901,乙,卯,午
06/30/1915,70.06,5.390000000000001,1.083,乙,卯,未
07/31/1915,75.34,5.280000000000001,1.075,乙,卯,申
08/31/1915,81.2,5.859999999999999,1.078,乙,卯,酉
09/30/1915,90.58,9.379999999999995,1.116,乙,卯,戌
10/30/1915,96.02,5.439999999999998,1.06,乙,卯,亥
11/30/1915,96.71,0.6899999999999977,1.007,乙,卯,子
12/31/1915,99.15,2.440000000000012,1.025,乙,卯,丑
01/31/1916,90.58,-8.570000000000007,0.914,丙,辰,寅
02/29/1916,91.03,0.45000000000000284,1.005,丙,辰,卯
03/31/1916,93.25,2.219999999999999,1.024,丙,辰,辰
04/29/1916,89.78,-3.469999999999999,0.963,丙,辰,巳
05/31/1916,91.8,2.019999999999996,1.022,丙,辰,午
06/30/1916,89.58,-2.219999999999999,0.976,丙,辰,未
07/31/1916,89.25,-0.3299999999999983,0.996,丙,辰,申
08/31/1916,92.25,3.0,1.034,丙,辰,酉
09/30/1916,102.9,10.650000000000006,1.115,丙,辰,戌
10/31/1916,104.61,1.7099999999999937,1.017,丙,辰,亥
11/29/1916,105.97,1.3599999999999994,1.013,丙,辰,子
12/29/1916,95,-10.969999999999999,0.896,丙,辰,丑
01/31/1917,95.43,0.4300000000000068,1.005,丁,巳,寅
02/28/1917,91.56,-3.8700000000000045,0.959,丁,巳,卯
03/31/1917,95.41,3.8499999999999943,1.042,丁,巳,辰
04/30/1917,93.23,-2.1799999999999926,0.977,丁,巳,巳
05/31/1917,97.38,4.1499999999999915,1.045,丁,巳,午
06/30/1917,95.87,-1.509999999999991,0.984,丁,巳,未
07/31/1917,91.75,-4.1200000000000045,0.957,丁,巳,申
08/31/1917,83.4,-8.349999999999994,0.909,丁,巳,酉
09/29/1917,83.81,0.4099999999999966,1.005,丁,巳,戌
10/31/1917,74.5,-9.310000000000002,0.889,丁,巳,亥
11/30/1917,72.65,-1.8499999999999943,0.975,丁,巳,子
12/31/1917,74.38,1.7299999999999898,1.024,丁,巳,丑
01/31/1918,79.8,5.420000000000002,1.073,戊,午,寅
02/28/1918,80.39,0.5900000000000034,1.007,戊,午,卯
03/30/1918,76.72,-3.6700000000000017,0.954,戊,午,辰
04/30/1918,77.51,0.7900000000000063,1.01,戊,午,巳
05/31/1918,78.08,0.5699999999999932,1.007,戊,午,午
06/29/1918,82.68,4.6000000000000085,1.059,戊,午,未
07/31/1918,81.23,-1.4500000000000028,0.982,戊,午,申
08/31/1918,82.84,1.6099999999999994,1.02,戊,午,酉
09/30/1918,84.68,1.8400000000000034,1.022,戊,午,戌
10/31/1918,85.51,0.8299999999999983,1.01,戊,午,亥
11/30/1918,81.13,-4.38000000000001,0.949,戊,午,子
12/31/1918,82.2,1.0700000000000074,1.013,戊,午,丑
01/31/1919,80.61,-1.5900000000000034,0.981,己,未,寅
02/28/1919,84.81,4.200000000000003,1.052,己,未,卯
03/31/1919,88.85,4.039999999999992,1.048,己,未,辰
04/30/1919,92.88,4.030000000000001,1.045,己,未,巳
05/29/1919,105.5,12.620000000000005,1.136,己,未,午
06/30/1919,106.98,1.480000000000004,1.014,己,未,未
07/31/1919,107.16,0.1799999999999926,1.002,己,未,申
08/29/1919,104.75,-2.4099999999999966,0.978,己,未,酉
09/30/1919,111.42,6.670000000000002,1.064,己,未,戌
10/31/1919,118.92,7.5,1.067,己,未,亥
11/29/1919,103.6,-15.320000000000007,0.871,己,未,子
12/31/1919,107.23,3.6300000000000097,1.035,己,未,丑
01/31/1920,103.82,-3.410000000000011,0.968,庚,申,寅
02/28/1920,91.31,-12.509999999999991,0.88,庚,申,卯
03/31/1920,102.81,11.5,1.126,庚,申,辰
04/30/1920,93.54,-9.269999999999996,0.91,庚,申,巳
05/29/1920,92.06,-1.480000000000004,0.984,庚,申,午
06/30/1920,90.76,-1.2999999999999972,0.986,庚,申,未
07/31/1920,86.85,-3.910000000000011,0.957,庚,申,申
08/31/1920,86.16,-0.6899999999999977,0.992,庚,申,酉
09/30/1920,82.95,-3.2099999999999937,0.963,庚,申,戌
10/30/1920,84.95,2.0,1.024,庚,申,亥
11/30/1920,76.04,-8.909999999999997,0.895,庚,申,子
12/31/1920,71.95,-4.090000000000003,0.946,庚,申,丑
01/31/1921,76.13,4.179999999999993,1.058,辛,酉,寅
02/28/1921,74.98,-1.1499999999999915,0.985,辛,酉,卯
03/31/1921,75.76,0.7800000000000011,1.01,辛,酉,辰
04/30/1921,78.84,3.0799999999999983,1.041,辛,酉,巳
05/31/1921,73.44,-5.400000000000006,0.932,辛,酉,午
06/30/1921,68.45,-4.989999999999995,0.932,辛,酉,未
07/30/1921,68.86,0.4099999999999966,1.006,辛,酉,申
08/31/1921,67.11,-1.75,0.975,辛,酉,酉
09/30/1921,71.08,3.969999999999999,1.059,辛,酉,戌
10/31/1921,73.21,2.1299999999999955,1.03,辛,酉,亥
11/30/1921,77.3,4.090000000000003,1.056,辛,酉,子
12/31/1921,81.1,3.799999999999997,1.049,辛,酉,丑
01/31/1922,81.3,0.20000000000000284,1.002,壬,戌,寅
02/28/1922,85.46,4.159999999999997,1.051,壬,戌,卯
03/31/1922,89.05,3.5900000000000034,1.042,壬,戌,辰
04/29/1922,92.74,3.6899999999999977,1.041,壬,戌,巳
05/31/1922,95.63,2.8900000000000006,1.031,壬,戌,午
06/30/1922,92.93,-2.6999999999999886,0.972,壬,戌,未
07/31/1922,97.05,4.11999999999999,1.044,壬,戌,申
08/31/1922,100.78,3.730000000000004,1.038,壬,戌,酉
09/30/1922,96.3,-4.480000000000004,0.956,壬,戌,戌
10/31/1922,96.11,-0.18999999999999773,0.998,壬,戌,亥
11/29/1922,94.65,-1.4599999999999937,0.985,壬,戌,子
12/30/1922,98.73,4.079999999999998,1.043,壬,戌,丑
01/31/1923,97.43,-1.2999999999999972,0.987,癸,亥,寅
02/28/1923,103.9,6.469999999999999,1.066,癸,亥,卯
03/31/1923,102.75,-1.1500000000000057,0.989,癸,亥,辰
04/30/1923,98.38,-4.3700000000000045,0.957,癸,亥,巳
05/31/1923,97.53,-0.8499999999999943,0.991,癸,亥,午
06/30/1923,87.85,-9.680000000000007,0.901,癸,亥,未
07/31/1923,86.91,-0.9399999999999977,0.989,癸,亥,申
08/31/1923,93.46,6.549999999999997,1.075,癸,亥,酉
09/29/1923,87.89,-5.569999999999993,0.94,癸,亥,戌
10/31/1923,88.53,0.6400000000000006,1.007,癸,亥,亥
11/30/1923,92.34,3.8100000000000023,1.043,癸,亥,子
12/31/1923,95.52,3.1799999999999926,1.034,癸,亥,丑
01/31/1924,100.66,5.140000000000001,1.054,甲,子,寅
02/29/1924,97.22,-3.4399999999999977,0.966,甲,子,卯
03/31/1924,93.01,-4.209999999999994,0.957,甲,子,辰
04/30/1924,90.63,-2.3800000000000097,0.974,甲,子,巳
05/29/1924,89.9,-0.7299999999999898,0.992,甲,子,午
06/30/1924,96.37,6.469999999999999,1.072,甲,子,未
07/31/1924,102.14,5.769999999999996,1.06,甲,子,申
08/30/1924,105.16,3.019999999999996,1.03,甲,子,酉
09/30/1924,103.16,-2.0,0.981,甲,子,戌
10/31/1924,104.06,0.9000000000000057,1.009,甲,子,亥
11/29/1924,111.38,7.319999999999993,1.07,甲,子,子
12/31/1924,120.51,9.13000000000001,1.082,甲,子,丑
01/31/1925,123.22,2.7099999999999937,1.022,乙,丑,寅
02/28/1925,122.71,-0.5100000000000051,0.996,乙,丑,卯
03/31/1925,116.75,-5.959999999999994,0.951,乙,丑,辰
04/30/1925,120.01,3.260000000000005,1.028,乙,丑,巳
05/29/1925,129.95,9.939999999999984,1.083,乙,丑,午
06/30/1925,131.01,1.0600000000000023,1.008,乙,丑,未
07/31/1925,133.81,2.8000000000000114,1.021,乙,丑,申
08/31/1925,141.18,7.3700000000000045,1.055,乙,丑,酉
09/30/1925,143.46,2.280000000000001,1.016,乙,丑,戌
10/31/1925,156.52,13.060000000000002,1.091,乙,丑,亥
11/30/1925,151.08,-5.439999999999998,0.965,乙,丑,子
12/31/1925,156.66,5.579999999999984,1.037,乙,丑,丑
01/30/1926,157.44,0.7800000000000011,1.005,丙,寅,寅
02/27/1926,154.45,-2.990000000000009,0.981,丙,寅,卯
03/31/1926,140.46,-13.98999999999998,0.909,丙,寅,辰
04/30/1926,143.71,3.25,1.023,丙,寅,巳
05/28/1926,143.43,-0.28000000000000114,0.998,丙,寅,午
06/30/1926,153.04,9.609999999999985,1.067,丙,寅,未
07/31/1926,160.47,7.430000000000007,1.049,丙,寅,申
08/31/1926,162.51,2.039999999999992,1.013,丙,寅,酉
09/30/1926,158.19,-4.319999999999993,0.973,丙,寅,戌
10/30/1926,150.38,-7.810000000000002,0.951,丙,寅,亥
11/30/1926,156.55,6.170000000000016,1.041,丙,寅,子
12/31/1926,157.2,0.6499999999999773,1.004,丙,寅,丑
01/31/1927,156.41,-0.789999999999992,0.995,丁,卯,寅
02/28/1927,161.96,5.550000000000011,1.035,丁,卯,卯
03/31/1927,160.08,-1.8799999999999955,0.988,丁,卯,辰
04/30/1927,164.21,4.1299999999999955,1.026,丁,卯,巳
05/31/1927,172.96,8.75,1.053,丁,卯,午
06/30/1927,166.23,-6.730000000000018,0.961,丁,卯,未
07/30/1927,182.61,16.380000000000024,1.099,丁,卯,申
08/31/1927,189.79,7.179999999999978,1.039,丁,卯,酉
09/30/1927,197.59,7.800000000000011,1.041,丁,卯,戌
10/31/1927,181.73,-15.860000000000014,0.92,丁,卯,亥
11/30/1927,198.21,16.480000000000018,1.091,丁,卯,子
12/31/1927,202.4,4.189999999999998,1.021,丁,卯,丑
01/31/1928,198.59,-3.8100000000000023,0.981,戊,辰,寅
02/29/1928,194.78,-3.8100000000000023,0.981,戊,辰,卯
03/31/1928,213.35,18.569999999999993,1.095,戊,辰,辰
04/30/1928,211.63,-1.7199999999999989,0.992,戊,辰,巳
05/31/1928,219.81,8.180000000000007,1.039,戊,辰,午
06/30/1928,210.55,-9.259999999999991,0.958,戊,辰,未
07/31/1928,216,5.449999999999989,1.026,戊,辰,申
08/31/1928,240.41,24.409999999999997,1.113,戊,辰,酉
09/29/1928,239.43,-0.9799999999999898,0.996,戊,辰,戌
10/31/1928,252.16,12.72999999999999,1.053,戊,辰,亥
11/30/1928,293.38,41.22,1.163,戊,辰,子
12/31/1928,300,6.6200000000000045,1.023,戊,辰,丑
01/31/1929,317.51,17.50999999999999,1.058,己,巳,寅
02/28/1929,317.41,-0.0999999999999659,1.0,己,巳,卯
03/28/1929,308.85,-8.560000000000002,0.973,己,巳,辰
04/30/1929,319.29,10.439999999999998,1.034,己,巳,巳
05/31/1929,297.41,-21.879999999999995,0.931,己,巳,午
